Iteration                Wall_Time                Samples                  Total_FPS                Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Disc_Loss                Disc_Grad_Penalty        Disc_Agent_Acc           Disc_Demo_Acc            Disc_Agent_Logit         Disc_Demo_Logit          Disc_Logit_Loss          Disc_Weight_Decay        Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Collection_Time          Backward_Time            Exp_Prob                 
0                        0.0034713925255669487    131072                   10488.264398002597       3.054734230041504        17.88469123840332        5715                     2.990938663482666        17.702001571655273       5094                     86.85685729980469        37.65462875366211        -0.003734224010258913    0.03139343485236168      0.9997493028640747       0.0                      9.841192245483398        1.530195713043213        0.9021438956260681       0.9160065054893494       -1.0562996864318848      0.8452276587486267       174.05235290527344       683.9342041015625        6.298501014709473        4.219105243682861        1.6700650453567505       1.2756061553955078       7.666661024093628        1.0986950397491455       1.0                      
25                       0.025274948676427204     3407872                  26759.958621826325       3.2167444229125977       18.364046096801758       5741                     3.329968214035034        19.438404083251953       166320                   14.194101333618164       0.6382281184196472       0.0004871633427683264    0.0429229736328125       1.000356912612915        0.0                      2.7110767364501953       0.20728538930416107      0.8696197867393494       1.0                      -3.045896291732788       1.7056149244308472       141.7514190673828        619.104248046875         -0.03436321020126343     0.8048043251037598       0.44562357664108276      0.7528496980667114       1.8456125259399414       1.0684869289398193       1.0                      
50                       0.04708630058500502      6684672                  26505.65160510695        3.124699592590332        18.55118179321289        5891                     3.453101873397827        19.895240783691406       162350                   11.662506103515625       0.5911728739738464       -0.00038500758819282055  0.04195251688361168      0.9997869729995728       0.0                      2.2143430709838867       0.14797767996788025      0.8691116571426392       1.0                      -2.5834288597106934      1.5972498655319214       120.549560546875         581.5416870117188        0.0040661003440618515    0.7757961750030518       0.46579182147979736      0.7259600758552551       1.810323715209961        1.0699043273925781       1.0                      
75                       0.06893632484806908      9961472                  26226.57440136897        3.291459321975708        19.100505828857422       5731                     3.503859281539917        20.18671417236328        160105                   9.908514022827148        0.58561110496521         -0.0008615728584118187   0.04510650783777237      0.9999030232429504       0.0                      1.8647531270980835       0.10930252075195312      0.8660125732421875       1.0                      -2.351210832595825       1.5112155675888062       103.6120376586914        552.90673828125          0.0031923516653478146    0.7689031958580017       0.502235472202301        0.7147490382194519       1.8320908546447754       1.1121530532836914       1.0                      
100                      0.09083867523405287      13238272                 25222.244223708367       3.408367156982422        19.86501693725586        5645                     3.612739086151123        20.6071834564209         156799                   8.780672073364258        0.7334757447242737       -0.0020336925517767668   0.04543609544634819      0.9998909831047058       0.0                      1.609845519065857        0.08253772556781769      0.8639068603515625       1.0                      -2.1483123302459717      1.4170690774917603       89.96295166015625        531.0510864257812        0.007821965031325817     0.8608274459838867       0.533804714679718        0.6888534426689148       1.8377413749694824       1.1476218700408936       1.0                      
125                      0.11349124372005463      16515072                 20772.92816323196        3.8517849445343018       21.970067977905273       8554                     3.847029209136963        21.801721572875977       147844                   8.075993537902832        0.9096307158470154       -0.0021652034483850002   0.04112854227423668      0.9997285008430481       0.0                      1.4337056875228882       0.06976043432950974      0.87255859375            1.0                      -2.0615274906158447      1.3922631740570068       78.58197021484375        513.4789428710938        0.01918909139931202      0.958584725856781        0.5390390157699585       0.6612554788589478       1.833972454071045        1.1110410690307617       1.0                      
150                      0.1367649558517668       19791872                 16650.70761466742        4.165132522583008        23.494977951049805       12447                    4.149773597717285        23.34033966064453        137950                   7.451448917388916        1.0842221975326538       -0.0019174808403477073   0.02982330322265625      1.0003197193145752       0.0                      1.2738288640975952       0.05933035537600517      0.88165283203125         1.0                      -2.1214749813079834      1.413724660873413        68.8320541381836         498.6632385253906        0.011105584912002087     1.0462623834609985       0.5123778581619263       0.6402326226234436       1.9357130527496338       1.1226730346679688       1.0                      
175                      0.1597817486524582       23068672                 16865.29920436204        4.398685932159424        24.569103240966797       11518                    4.36805534362793         24.551233291625977       130968                   6.7417521476745605       1.038529872894287        -0.001424563699401915    0.02952118031680584      0.9999087452888489       0.0                      1.1409295797348022       0.050467897206544876     0.887890636920929        1.0                      -2.113342046737671       1.4313668012619019       60.533477783203125       486.3746643066406        0.026212269440293312     1.0215574502944946       0.5027033090591431       0.625786542892456        1.867384433746338        1.1029744148254395       1.0                      
200                      0.18331861595312754      26345472                 13452.786465046911       4.793489933013916        26.467512130737305       16205                    4.549472808837891        25.312082290649414       126958                   6.211472988128662        1.0355695486068726       -0.0011331952409818769   0.02294311486184597      0.9999998211860657       0.0                      1.0354070663452148       0.044255029410123825     0.8959808349609375       1.0                      -2.0329155921936035      1.4329612255096436       53.380279541015625       475.9688415527344        -0.0041942298412323      1.020215392112732        0.4924476742744446       0.5978131890296936       1.8077898025512695       1.1305429935455322       1.0                      
225                      0.20625437445110745      29622272                 15966.646076653902       4.953958511352539        26.7480525970459         11344                    4.670680522918701        25.941221237182617       123835                   5.7288665771484375       1.010919451713562        -0.0006474250112660229   0.02364349365234375      0.9998762011528015       0.0                      0.9437190890312195       0.03886277973651886      0.9005218744277954       1.0                      -2.039292097091675       1.4335864782333374       47.1983528137207         467.1311950683594        0.0008658448932692409    1.0073168277740479       0.4868139624595642       0.5876891016960144       1.8676047325134277       1.1322970390319824       1.0                      
